,total_impact,peak_daily_impact,num_fires,total_acres,average_impact_per_fire,impact_density,Year,smoke_estimate
0,537.6070461392302,0.2944395726733221,138,113354.82050689569,3.8957032328929726,0.004742692403685876,1964,0.027160324546568294
1,235.33372875347362,0.11767039627653914,100,45581.443460889335,2.3533372875347363,0.0051629283955300625,1965,0.0023611698945750076
2,495.4386094280389,0.2794053859191249,170,353280.4789013813,2.9143447613414053,0.001402394525077456,1966,0.023700735084693742
3,312.11394524620766,0.21227826359178706,98,31594.22345562899,3.1848361759817108,0.009878829453888661,1967,0.008660384391853553
4,206.5537696395367,0.15562205739537488,85,40769.66353224137,2.4300443487004317,0.005066359438463119,1968,0.0
5,312.75116331949926,0.2770071617561039,98,73928.76969258906,3.19133840121938,0.004230439173003724,1969,0.008712663136412526
6,509.44899775164924,0.12539407369868452,176,93873.4680955468,2.8945965781343705,0.005426975354027818,1970,0.0248501775488074
7,1002.1445962360481,0.7082096194083948,214,466998.2360301643,4.682918674000224,0.002145928011966447,1971,0.06527198668777952
8,690.8204270204088,0.20465662234798093,146,234923.61520692642,4.731646760413759,0.0029406172147143123,1972,0.03973028063825387
9,544.272945370373,0.1563622595224921,156,218177.80562153974,3.4889291369895705,0.0024946302114454825,1973,0.02770720929100225
10,1025.157899515928,0.5711812798737054,213,220243.65953841797,4.812947885051305,0.004654653403709475,1974,0.06716004770496363
11,656.629320109799,0.8333333333333334,144,120234.61210754504,4.559925834095826,0.005461233737939541,1975,0.03692516851214134
12,958.8973313033636,0.4135961795792588,189,264078.8271125894,5.07353085345695,0.0036311026589592506,1976,0.061723887832687174
13,573.7179409222758,0.4309890240973594,128,66411.37604725911,4.48217141345528,0.00863885037578519,1977,0.030122940208749806
14,844.4203583879317,0.8333333333333334,127,39319.33562831983,6.648979199904974,0.02147595692791249,1978,0.05233195016523226
15,816.0299467053742,0.24950818163310554,220,358483.7478127553,3.7092270304789734,0.0022763373561124627,1979,0.05000273958178207
16,1764.7755679439208,0.8333333333333334,266,200678.46500366376,6.634494616330529,0.0087940455788901,1980,0.12783987581987738
17,1422.5673481135677,0.8333333333333334,274,778224.3762634378,5.191851635450977,0.001827965547601933,1981,0.09976437567268467
18,862.4395805995796,0.5681651358985469,155,160562.3368874402,5.564126326448901,0.00537136913499322,1982,0.053810286004465496
19,1103.4630443987069,0.6526659438813847,238,508920.00939359516,4.636399346213054,0.0021682445650221946,1983,0.07358437061506869
20,1467.4484820964828,0.8333333333333334,247,589069.3614704246,5.941086972050538,0.002491130209918682,1984,0.1034465206672385
21,2836.3399466519295,0.8333333333333334,446,925730.4634750597,6.359506606842891,0.003063893928697901,1985,0.21575332771491784
22,1757.9296081677992,0.8333333333333334,335,602662.3677099036,5.24755106915761,0.002916939404807822,1986,0.12727821852012736
23,3982.0654395437978,0.8333333333333334,597,636020.0374583626,6.670126364394971,0.00626091192890206,1987,0.3097511173070981
24,4214.973312729196,0.8333333333333334,622,3148549.2489517755,6.776484425609639,0.0013387033136395936,1988,0.3288593813667418
25,3678.0976228553573,0.8333333333333334,532,901208.4777024648,6.9137173361942805,0.0040812949654360515,1989,0.28481294227901477
26,1748.5020566958335,0.4971277473442817,291,480365.8547132024,6.008598132975373,0.0036399382669273176,1990,0.12650476187180357
27,1693.6994834323802,0.8333333333333334,309,576298.2496471534,5.481228101722913,0.002938928730860056,1991,0.12200864060830098
28,1691.478995316618,0.8086051060152932,310,877030.4764892735,5.456383855860058,0.0019286433489604116,1992,0.12182646697596734
29,1856.4775524040763,0.8333333333333334,297,640507.3308051955,6.250766169710695,0.002898448562751434,1993,0.13536330433215943
30,4579.8128876853,0.8333333333333334,651,1701132.801838677,7.035042838226267,0.002692213613619812,1994,0.3587916066810833
31,2675.990945383566,0.8333333333333334,460,1032790.6931535087,5.817371620399057,0.002591029298698203,1995,0.20259794994244965
32,4674.072663904594,0.8333333333333334,679,3202775.2692631027,6.883759446103968,0.0014593820268195118,1996,0.36652488194381977
33,1576.1141441207346,0.8333333333333334,273,280491.3171048649,5.7733118832261345,0.005619119195520359,1997,0.11236168586014096
34,3114.6513597595645,0.8333333333333334,478,780286.3998172286,6.516007028785699,0.003991677107904391,1998,0.2385865960786714
35,3500.205908667891,0.6146285003604675,613,1936538.2235516717,5.709960699295092,0.0018074551104126434,1999,0.2702183225170158
36,7873.6698574488055,0.8333333333333334,1169,4022087.1905704997,6.735389099614034,0.0019576079494020094,2000,0.6290267339532208
37,4374.654031646505,0.8333333333333334,686,1156728.6909923845,6.377046693362253,0.0037819188420868057,2001,0.3419599318143296
38,8322.679275885906,0.8333333333333334,663,2281593.8199752294,12.553060747942544,0.0036477479922242526,2002,0.6658644346948078
39,5155.851006737954,0.8333333333333334,742,1746902.1785509388,6.948586262450073,0.002951425139909522,2003,0.40605101589185216
40,3397.4774463901344,0.8333333333333334,513,897367.6643825666,6.622763053392075,0.003786048440610758,2004,0.261790257991769
41,5444.832886245229,0.8333333333333334,935,3325471.7366794134,5.823350680476181,0.0016373114304925843,2005,0.4297597123242892
42,8056.185859020739,0.8333333333333334,1368,5515107.973725126,5.889024750746154,0.001460748528841452,2006,0.6440007402220889
43,6931.927123113091,0.8333333333333334,1080,4381622.44392085,6.418451039919528,0.0015820457403240172,2007,0.5517641296546818
44,7857.605624276274,0.8333333333333334,1053,2091436.3010113626,7.462113603301305,0.0037570379841243774,2008,0.6277087896296639
45,7605.255665087274,0.8333333333333334,1067,3256031.191682688,7.12769977983812,0.0023357441060498398,2009,0.6070054549176365
